Author,and,they,who,in,his,there,one,that,had,the,for,he,of,these,were,with,when,was,them,unto,himself,by,which,is,all,also,again,out,to,him,from,forth,god,said,be,hath,thine,into,thy,me,thyself,have,lord,will,not,lest,thou,shouldest,say,let,their,what,my,hast,no,shall,but,now,if,it,thee,whereby,an,each,upon,whom,shalt,yet,those,whose,may,her,do,as,whence,whither,because,man,every,wherefore,make,many,neither,more,wherein,we,our,then,according,your,throughout,did,notwithstanding,other,should,therefore,thence,like,therefrom,are,or,ye,how,thereof,being,abundance,ever,where,doeth,yea,till,among,than,been,without,cometh,thus,therewith,moreover,becometh,must,verily,some,would,much,therein,whereof,didst,thereupon,outward,henceforth,became,underneath,whereunto,thereby,ought,could,hereof,thereon,oftentimes,upward,hence,inasmuch,once,downward,wherewith,such,whoso,whereto,forthwith,thereunto,oft,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,y_percentage_use,o_percentage_use,k_percentage_use,l_percentage_use,b_percentage_use,r_percentage_use,m_percentage_use,s_percentage_use,w_percentage_use,i_percentage_use,g_percentage_use,p_percentage_use,c_percentage_use,f_percentage_use,v_percentage_use,u_percentage_use,z_percentage_use,x_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,130.0,5.0,1.0,22.0,14.0,1.0,3.0,21.0,5.0,85.0,9.0,23.0,46.0,3.0,2.0,9.0,9.0,10.0,10.0,25.0,1.0,4.0,6.0,10.0,5.0,4.0,2.0,5.0,22.0,17.0,6.0,3.0,11.0,21.0,20.0,3.0,5.0,2.0,18.0,13.0,2.0,7.0,17.0,13.0,8.0,1.0,13.0,1.0,1.0,1.0,3.0,1.0,9.0,1.0,2.0,17.0,5.0,3.0,1.0,9.0,19.0,1.0,6.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,16.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10788308237378211,0.07440212577502214,0.06111603188662533,0.08644818423383525,0.08449955713020373,0.12559787422497787,0.014526129317980514,0.06271036315323295,0.006377325066430469,0.039681133746678476,0.021612046058458814,0.051904340124003544,0.03170947741364039,0.054561558901682905,0.018954827280779452,0.060407440212577504,0.018777679362267492,0.008148804251550044,0.013463241806908768,0.020017714791851195,0.00921169176262179,0.01966341895482728,0.0010628875110717448,0.0008857395925597874,0.0005314437555358724,0.0001771479185119575,1430,3.9475524475524475,24.517241379310345,804.9943312666076
Joshua,17.0,3.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,16.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07853403141361257,0.07853403141361257,0.06282722513089005,0.10209424083769633,0.09031413612565445,0.11910994764397906,0.014397905759162303,0.08115183246073299,0.0,0.04712041884816754,0.02225130890052356,0.04319371727748691,0.017015706806282723,0.06544502617801047,0.02225130890052356,0.04581151832460733,0.007853403141361256,0.007853403141361256,0.011780104712041885,0.017015706806282723,0.006544502617801047,0.05366492146596859,0.0,0.0,0.002617801047120419,0.0013089005235602095,191,4.0,31.833333333333332,117.99869109947645
Samuel,35.0,1.0,0.0,6.0,9.0,0.0,0.0,6.0,2.0,37.0,5.0,3.0,30.0,0.0,1.0,10.0,1.0,4.0,1.0,7.0,1.0,1.0,4.0,3.0,4.0,0.0,1.0,2.0,5.0,5.0,3.0,0.0,1.0,4.0,1.0,2.0,3.0,4.0,0.0,2.0,0.0,0.0,8.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09105431309904154,0.0777422790202343,0.06283280085197018,0.09318423855165069,0.09211927582534611,0.11182108626198083,0.005857294994675187,0.07614483493077742,0.010117145899893504,0.04046858359957402,0.01703940362087327,0.05378061767838126,0.019169329073482427,0.051118210862619806,0.026091586794462194,0.07294994675186368,0.012779552715654952,0.011182108626198083,0.01437699680511182,0.027689030883919063,0.003727369542066028,0.021299254526091587,0.002129925452609159,0.0,0.0026624068157614484,0.0,456,4.118421052631579,30.333333333333332,242.99733759318428
Unknown,15.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,18.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08653846153846154,0.08653846153846154,0.05448717948717949,0.08814102564102565,0.07532051282051282,0.1330128205128205,0.014423076923076924,0.10256410256410256,0.0016025641025641025,0.02403846153846154,0.028846153846153848,0.046474358974358976,0.016025641025641024,0.06570512820512821,0.022435897435897436,0.04326923076923077,0.01282051282051282,0.008012820512820512,0.0016025641025641025,0.028846153846153848,0.020833333333333332,0.022435897435897436,0.0016025641025641025,0.0016025641025641025,0.009615384615384616,0.0,158,3.949367088607595,26.166666666666668,78.9967948717949
Unknown,20.0,1.0,0.0,4.0,8.0,1.0,0.0,5.0,0.0,14.0,1.0,7.0,8.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09337676438653637,0.07926167209554831,0.05428881650380022,0.09011943539630836,0.09011943539630836,0.09663409337676439,0.01737242128121607,0.09554831704668838,0.008686210640608035,0.048859934853420196,0.00760043431053203,0.04017372421281216,0.03040173724212812,0.0738327904451683,0.02823018458197611,0.05646036916395222,0.02062975027144408,0.0054288816503800215,0.008686210640608035,0.023887079261672096,0.004343105320304018,0.02062975027144408,0.0,0.0,0.004343105320304018,0.0,229,4.021834061135372,28.625,132.9989142236699
Unknown,10.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,12.0,1.0,6.0,12.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11196319018404909,0.07515337423312883,0.049079754601226995,0.0843558282208589,0.08128834355828221,0.1334355828220859,0.004601226993865031,0.06901840490797546,0.012269938650306749,0.03067484662576687,0.019938650306748466,0.0598159509202454,0.03834355828220859,0.05214723926380368,0.018404907975460124,0.05214723926380368,0.02147239263803681,0.007668711656441718,0.009202453987730062,0.027607361963190184,0.007668711656441718,0.023006134969325152,0.0,0.0,0.007668711656441718,0.0,156,4.17948717948718,22.285714285714285,79.99693251533739
Ezra,54.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,28.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15801024140453548,0.08924652523774688,0.05193855157278712,0.05267008046817849,0.12728602779809803,0.11119239209948793,0.0,0.06510607168983175,0.0073152889539136795,0.021945866861741038,0.016825164594001463,0.04169714703730797,0.020482809070958303,0.07973664959765911,0.006583760058522311,0.061448427212874905,0.002926115581565472,0.008046817849305048,0.006583760058522311,0.027798098024871983,0.0021945866861741038,0.012435991221653255,0.014630577907827359,0.000731528895391368,0.012435991221653255,0.0,300,4.556666666666667,15.0,143.9992684711046
Nehemiah,8.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,19.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07128712871287128,0.07326732673267326,0.04554455445544554,0.13663366336633664,0.07722772277227723,0.15445544554455445,0.009900990099009901,0.07128712871287128,0.009900990099009901,0.033663366336633666,0.019801980198019802,0.06534653465346535,0.011881188118811881,0.047524752475247525,0.03564356435643564,0.047524752475247525,0.009900990099009901,0.013861386138613862,0.007920792079207921,0.013861386138613862,0.0039603960396039604,0.0297029702970297,0.0,0.0,0.005940594059405941,0.0,142,3.556338028169014,35.25,82.9960396039604
Mordecai,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07377049180327869,0.10655737704918032,0.05737704918032787,0.07377049180327869,0.04918032786885246,0.14754098360655737,0.01639344262295082,0.07377049180327869,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.04918032786885246,0.01639344262295082,0.06557377049180328,0.00819672131147541,0.06557377049180328,0.040983606557377046,0.0,0.02459016393442623,0.02459016393442623,0.03278688524590164,0.00819672131147541,0.0,0.0,0.0,0.0,28,4.357142857142857,28.0,18.00000000000001
Unknown,8.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06779661016949153,0.06933744221879815,0.040061633281972264,0.1140215716486903,0.09399075500770417,0.1448382126348228,0.026194144838212634,0.05701078582434515,0.0061633281972265025,0.02157164869029276,0.020030816640986132,0.04468412942989214,0.020030816640986132,0.06317411402157165,0.029275808936825885,0.06317411402157165,0.01386748844375963,0.01694915254237288,0.01848998459167951,0.02157164869029276,0.007704160246533128,0.032357473035439135,0.0015408320493066256,0.0,0.0,0.0030816640986132513,150,4.326666666666667,15.0,86.99691833590141
